marginal_m0-d0,full_m0-d0,marginal_m1-d0,full_m1-d0,marginal_m2-d0,full_m2-d0,marginal_m3-d0,full_m3-d0,marginal_m0-d1,full_m0-d1,marginal_m1-d1,full_m1-d1,marginal_m2-d1,full_m2-d1,marginal_m3-d1,full_m3-d1,marginal_m0-d2,full_m0-d2,marginal_m1-d2,full_m1-d2,marginal_m2-d2,full_m2-d2,marginal_m3-d2,full_m3-d2,marginal_m0-d3,full_m0-d3,marginal_m1-d3,full_m1-d3,marginal_m2-d3,full_m2-d3,marginal_m3-d3,full_m3-d3,analytic_m3-d0,analytic_m3-d1,analytic_m3-d2,analytic_m3-d3
-633.0420077946192,-633.0289942624202,-642.0917562534817,-643.3937018865464,-644.7353344649059,-646.8998749811061,-633.0777626201525,-632.7099944154711,-753.4254237637515,-753.7359052694368,-681.0335524877648,-681.0344920850724,-683.4131750303984,-687.5440646682334,-753.5672391030187,-753.5909030967539,-908.1209090867236,-908.2755961679776,-518.231928779579,-524.8899197731405,-508.8481361921636,-529.2762144060332,-909.1635586756904,-909.4900922964891,-684.7838925593774,-685.0742828697555,-694.9349643043867,-695.701466261439,-697.3524612000521,-701.2439384837353,-684.8240676462482,-684.709263079832,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0723315524099,-633.4349259549911,-642.0359921696279,-643.6799868630935,-644.5866439845414,-647.3611608158805,-633.0781739159661,-633.2798711451437,-753.4960585357188,-753.4484829294527,-681.0306572335134,-681.2339080241153,-683.4384817667687,-685.9992988239361,-753.4617815870678,-753.382886436608,-908.2419676324856,-908.408630889124,-518.2668851626291,-525.4297705036013,-508.9488502940782,-537.6698191044167,-909.2339066222385,-909.0379518362697,-684.8576089746607,-684.9937612524817,-694.9327120831261,-695.8167983136225,-697.4601670345158,-699.8361480695775,-684.8493839227787,-684.5865600520649,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0510067309511,-633.3400634038425,-642.134948855552,-643.2019354255169,-644.6439325814199,-649.566549058293,-633.1646916677616,-632.7935671827779,-753.5374274391864,-753.8726571748977,-681.0714402861362,-681.1650539271076,-683.4638717723604,-686.8113496719476,-753.501465200749,-753.2799011267567,-908.2978276921953,-908.0824904305184,-518.2640140004968,-522.8341626613847,-509.0487226492779,-530.8097662749223,-909.2378151229877,-909.5274187986221,-684.8409611755824,-684.5612054412344,-694.8432520628508,-695.3283962060235,-697.3486317443409,-702.0426443198385,-684.8649429718577,-684.4054767687583,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.1434981744356,-633.3299603389722,-642.0145927124236,-643.0252776742155,-644.6493242550931,-647.1879770952107,-633.188394093144,-633.3326120135006,-753.5750837503788,-754.0250501510362,-681.066994446411,-681.1991825638689,-683.4195219319879,-686.1483613149816,-753.5114789779911,-753.685414058668,-908.3298019229107,-908.1969703775234,-518.224627339009,-530.36306116587,-508.93530882234336,-531.2892226308965,-909.2719489148706,-909.4051708484213,-684.9322634143537,-685.2558614374053,-694.8457021270557,-695.5659915321252,-697.2774938038996,-699.9168504796072,-684.8807586502604,-684.9034041593844,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0625282304952,-633.3009197554459,-642.1332401441516,-643.0443662261252,-644.6937073313883,-646.7293378332873,-633.0796732360441,-632.5855613854284,-753.5421261308073,-753.699926448356,-681.0424807066813,-681.3729066714986,-683.4467946484565,-685.9805369521425,-753.5197356633572,-753.8041426249723,-908.3061527089088,-908.0218692328804,-518.1538529770069,-528.0145022876148,-508.9978722953652,-532.732123391437,-909.2334833755566,-909.5421362058747,-684.949586314771,-685.1781474858956,-694.9329457029019,-695.3916019255621,-697.3218117727838,-700.4885790970219,-684.9158127898296,-684.6232055847019,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0664050866376,-633.5514979579416,-642.0429137506011,-642.9716493792032,-644.6487719926442,-647.0081196458202,-633.048411946491,-632.9941453954792,-753.5158798845,-753.9421918017359,-681.0492092559832,-682.0566480214862,-683.3570338171583,-684.473480489036,-753.4632281906942,-753.5221640946842,-908.250350475116,-908.1611345728928,-518.2654484139557,-528.7044706795195,-508.9354065456689,-522.5652569523985,-909.1860573614983,-909.5864911252967,-684.8755738782132,-685.0844624000233,-694.9232853393121,-696.1639756812151,-697.3021926935346,-701.2388543581031,-684.866257447192,-684.2621898651469,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0694462727471,-633.3126970359409,-642.0811453400725,-643.1033431101109,-644.6859095405166,-649.1299087830093,-633.0843699963513,-632.9512197762512,-753.5447645757691,-753.8132181252859,-681.1046068657008,-681.3630953849362,-683.4412679952218,-687.2752584366353,-753.4567959352732,-753.4565974868802,-908.2159261728964,-908.5128441508958,-518.2084544859484,-523.2869296467027,-509.0236163305685,-545.4714452302459,-909.2211768457366,-909.570593960806,-684.8772257901538,-685.0369192366163,-694.8642138243049,-695.5227225393178,-697.3091702866229,-698.9649204638628,-684.8888707738221,-684.7194080230081,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
-633.0938287674034,-633.428879903938,-642.0766587719152,-643.4001295367697,-644.6246386619346,-647.5391196529184,-633.1171039717086,-632.9589592062212,-753.5835841059584,-753.7517729265777,-681.063105816321,-681.5265950234827,-683.4494278230452,-687.1038738512295,-753.4900725704609,-753.7726358743828,-908.175795821776,-908.6461735249356,-518.2696227471614,-524.8771367333029,-508.9304772036921,-529.3086325979215,-909.2290269003616,-909.3432038034538,-684.8534003379802,-684.8007782179131,-694.7585699274312,-695.6111234915438,-697.3012593863536,-699.3707096480821,-684.8405360639038,-684.8005765810318,-633.0811809229092,-753.468314107158,-909.2289097459741,-684.8682910334276
