,marginal_m0,full_m0,marginal_m1,full_m1,marginal_m2,full_m2,marginal_m3,full_m3,marginal_m4,full_m4,marginal_m5,full_m5
0,-1279.9176020617065,-1279.8462418303566,-1224.1825687884395,-1224.2670984779645,-1265.599570371738,-1269.4106413730158,-1270.7243725607082,-1271.0835526561175,-1226.9927628007367,-1232.2616890693075,-1220.63946276783,-1226.5648752076531
1,-1279.8289034280976,-1279.862975276334,-1224.1033447191908,-1224.1713577124697,-1265.5259737703316,-1271.1165544357505,-1270.6570958157304,-1270.3855350425008,-1226.9033000171655,-1231.641358813357,-1220.7462809070598,-1227.4847650062804
2,-1279.886103951182,-1279.9245898970614,-1224.1545836057774,-1224.1818544455286,-1265.5785355561643,-1269.7790813308316,-1270.6987128886467,-1270.1667585733344,-1226.9488629601226,-1232.7081971624536,-1220.708342909133,-1226.83979584079
3,-1279.8262501403324,-1279.9431235456216,-1224.0994456022422,-1224.2178841125842,-1265.518914370527,-1269.1779386599562,-1270.6550425471814,-1269.09255676772,-1226.9159246454867,-1232.15435875968,-1220.706705108124,-1222.5733455077416
4,-1279.860663923147,-1279.8559467263462,-1224.1345245201978,-1224.2569752542229,-1265.5577858814595,-1269.2545277646527,-1270.6853971236826,-1271.082476529657,-1226.9559762515637,-1233.1067494296128,-1220.6636788145224,-1224.975137310996
5,-1279.8591137150252,-1279.9089736308497,-1224.1058837541543,-1224.1747739169205,-1265.5348321511024,-1270.150326884269,-1270.6511125410298,-1269.8443478191427,-1226.8651589339756,-1233.1759714230736,-1220.6961996008235,-1225.0360071011085
6,-1279.8575542724034,-1279.780539588142,-1224.1310157434382,-1224.1675299448802,-1265.5611209142508,-1269.6976372661045,-1270.6934783994016,-1271.193904771594,-1226.9750227128654,-1232.571810522059,-1220.6931954512474,-1225.1211566397426
7,-1279.8021224307604,-1279.7505391313505,-1224.0785047505556,-1224.1103487950622,-1265.4885325130444,-1268.5608732736175,-1270.620263589115,-1268.8751616941631,-1226.954154828952,-1232.1764092368026,-1220.6685996507397,-1225.7655464922811
