integrated_m0,full_m0,integrated_m1,full_m1,integrated_m2,full_m2,integrated_m3,full_m3,integrated_m4,full_m4,integrated_m5,full_m5
-1279.8051773915518,-1279.858630025515,-1224.1357982702057,-1224.092062961281,-1263.60134712727,-1260.7732942908583,-1270.6894308556718,-1266.590232123269,-1226.9705606483344,-1230.518683503119,-1225.7442165673012,-1235.003184294563
-1279.8403953079646,-1279.8712421701357,-1224.0729162505686,-1224.0581424628845,-1263.6449575495003,-1261.758405312015,-1270.6956292931227,-1267.5567571439874,-1227.0140920736503,-1230.7265376500593,-1225.75753743259,-1230.64036363529
-1279.8766272032474,-1279.8042200599152,-1224.174727328916,-1224.141485037997,-1263.623220022137,-1261.2280048915177,-1270.6075739520693,-1265.9266447087034,-1226.9375046004595,-1231.2390969665653,-1225.8045514821945,-1233.007426362478
-1279.9045818312286,-1279.8943865146798,-1224.2072412389252,-1224.0583033623104,-1263.588436722348,-1260.5675379834925,-1270.7428935113626,-1266.6421953063882,-1226.8882549397051,-1231.271077608686,-1225.804203319683,-1232.821644720044
-1279.8433348780031,-1279.959136664511,-1224.1808887752436,-1224.2567146501356,-1263.6120211142952,-1261.5397909429398,-1270.6297733670265,-1266.291694380153,-1226.9181942220234,-1231.504782351107,-1225.7763179083065,-1232.1721121827632
-1279.8875157442728,-1279.7763704367082,-1224.084425933043,-1224.100931099406,-1263.636425462103,-1261.301159447908,-1270.707285606297,-1267.789154594956,-1226.956429299854,-1230.8808778506284,-1225.813854083919,-1229.086788712251
-1279.94373194318,-1279.8453267528014,-1224.1312068032505,-1224.0861780232672,-1263.5832188000873,-1261.4268021938926,-1270.7657445928787,-1267.0677548873407,-1226.8974288901616,-1231.4712828520762,-1225.764518949699,-1231.813677053016
-1279.85740812347,-1279.8199319152734,-1224.118360955446,-1224.190580728311,-1263.601737048809,-1261.894037167661,-1270.6749995552595,-1271.3124392185607,-1226.860915031692,-1231.277791130915,-1225.7314886109773,-1232.6177701156262
